Subdate,Variety,SampleID,d15N,Namount,TrayName,SampleWeight
10/7/13,B73,EVO1B-1-1-1,8.56,86.71,EVO-PROJ-1,2.6
10/7/13,B73,EVO1B-1-1-2,8.54,74.96,EVO-PROJ-1,2.4
10/7/13,B73,EVO1B-1-1-3,8.61,65.43,EVO-PROJ-1,2.1
10/7/13,B73,EVO1B-1-2-1,7.51,108.13,EVO-PROJ-1,3.1
10/7/13,B73,EVO1B-1-2-2,7.51,119.01,EVO-PROJ-1,3.4
10/7/13,B73,EVO1B-1-2-3,20.23,98.26,EVO-PROJ-1,2.7
10/7/13,B73,EVO1B-1-3-1,10.27,82.19,EVO-PROJ-1,2.8
10/7/13,B73,EVO1B-1-3-2,11.14,73.75,EVO-PROJ-1,2.7
10/7/13,B73,EVO1B-1-3-3,11.23,61.19,EVO-PROJ-1,2
10/7/13,B73,EVO1B-1-4-1,8.59,102.6,EVO-PROJ-1,3
10/7/13,B73,EVO1B-1-4-2,8.19,85.35,EVO-PROJ-1,2.5
10/7/13,B73,EVO1B-1-4-3,2094.75,77.52,EVO-PROJ-1,2.1
10/8/13,B73,EVO1B-1-5-1,472.23,59.46,EVO-PROJ-2,2.1
10/8/13,B73,EVO1B-1-5-2,10.54,66.81,EVO-PROJ-2,2
10/8/13,B73,EVO1B-1-6-1,7.35,104.06,EVO-PROJ-2,2.9
10/8/13,B73,EVO1B-1-6-2,7.21,93.57,EVO-PROJ-2,4.3
10/8/13,B73,EVO1B-1-6-3,6.96,139.75,EVO-PROJ-2,2.9
10/8/13,B73,EVO1B-1-7-1,6.11,131.35,EVO-PROJ-2,3.3
10/8/13,B73,EVO1B-1-7-2,6.18,135.55,EVO-PROJ-2,3
10/8/13,B73,EVO1B-1-7-3,6.72,128.73,EVO-PROJ-2,3.2
10/8/13,B73,EVO1B-2-1-1,7.74,111.41,EVO-PROJ-2,3.4
10/8/13,B73,EVO1B-2-1-2,334.18,132.92,EVO-PROJ-2,3.4
10/8/13,B73,EVO1B-2-1-3,8.6,129.78,EVO-PROJ-2,2.8
10/8/13,B73,EVO1B-2-2-1,7.49,116.66,EVO-PROJ-2,3.1
10/8/13,B73,EVO1B-2-2-2,7.06,131.35,EVO-PROJ-2,3.9
10/8/13,B73,EVO1B-2-2-3,7.23,104.06,EVO-PROJ-2,3.4
10/8/13,B73,EVO1B-2-3-1,8.42,127.68,EVO-PROJ-2,4.1
