Submission date,Variety,Sample ID,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id, Material,Analysis,Enriched?,Estimated Enrichment,Sample Weight (g),OurLabID,Analysis Number
11/08/13,Carmita,Madi-412-1,5.41,156.64,,Evo-Proj-Prio-4,D5,Plant,15N,No,,4.3,622914,221573
11/08/13,Carmita,Madi-412-2,4.73,125.04,,Evo-Proj-Prio-4,D6,Plant,15N,No,,4.1,622915,221574
11/08/13,Carmita,Madi-412-3,4.27,96.15,,Evo-Proj-Prio-4,D7,Plant,15N,No,,3.2,622916,221575
11/08/13,Carmita,Madi-506-1,4.02,125.04,,Evo-Proj-Prio-4,D8,Plant,15N,No,,3.9,622917,221576
11/08/13,Carmita,Madi-506-2,4.23,120.93,,Evo-Proj-Prio-4,D9,Plant,15N,No,,4.9,622918,221577
11/08/13,Carmita,Madi-506-3,3.96,143.94,,Evo-Proj-Prio-4,D10,Plant,15N,No,,4.4,622919,221578
11/08/13,Carmita,Madi-619-1,4.54,135.79,,Evo-Proj-Prio-4,D11,Plant,15N,No,,4.2,622920,221579
11/08/13,Carmita,Madi-619-2,4.21,148.01,,Evo-Proj-Prio-4,D12,Plant,15N,No,,4.7,622921,221580
11/08/13,Carmita,Madi-619-3,4.05,161.20,,Evo-Proj-Prio-4,E1,Plant,15N,No,,4.6,622922,221587
11/08/13,Comaltepec,Madi-409-1,3.52,105.98,,Evo-Proj-Prio-4,E11,Plant,15N,No,,4.2,622932,221597
11/08/13,Comaltepec,Madi-409-2,3.48,112.69,,Evo-Proj-Prio-4,E12,Plant,15N,No,,3.6,622933,221598
11/08/13,Comaltepec,Madi-409-3,3.14,158.67,,Evo-Proj-Prio-4,F1,Plant,15N,No,,5,622934,221602
11/08/13,Comaltepec,Madi-526-1,4.47,57.47,,Evo-Proj-Prio-4,F2,Plant,15N,No,,2.5,622935,221603
11/08/13,Comaltepec,Madi-526-2,3.88,71.65,,Evo-Proj-Prio-4,F3,Plant,15N,No,,3.1,622936,221604
11/08/13,Comaltepec,Madi-526-3,4.65,75.31,,Evo-Proj-Prio-4,F4,Plant,15N,No,,3.1,622937,221605
11/08/13,Comaltepec,Madi-624-1,5.25,108.57,,Evo-Proj-Prio-4,F5,Plant,15N,No,,3.8,622938,221606
11/08/13,Comaltepec,Madi-624-2,4.66,151.57,,Evo-Proj-Prio-4,F6,Plant,15N,No,,5,622939,221607
11/08/13,Comaltepec,Madi-624-3,4.60,65.35,,Evo-Proj-Prio-4,F7,Plant,15N,No,,2.5,622940,221608
11/08/13,Hickory King,Madi-410-1,3.29,109.60,,Evo-Proj-Prio-4,H11,Plant,15N,No,,4.3,622968,221641
11/08/13,Hickory King,Madi-410-2,4.60,110.12,,Evo-Proj-Prio-4,H12,Plant,15N,No,,4.1,622969,221642
11/08/13,Hickory King,Madi-410-3,5.06,103.74,,Evo-Proj-Prio-5,A1,Plant,15N,No,,4.7,622970,221661
11/08/13,Hickory King,Madi-520-1,5.44,96.47,,Evo-Proj-Prio-5,A2,Plant,15N,No,,4.3,622971,221662
11/08/13,Hickory King,Madi-520-2,5.18,80.34,,Evo-Proj-Prio-5,A3,Plant,15N,No,,4.1,622972,221663
11/08/13,Hickory King,Madi-520-3,4.88,94.91,,Evo-Proj-Prio-5,A4,Plant,15N,No,,4.8,622973,221664
11/08/13,Hickory King,Madi-629-1,5.02,81.90,,Evo-Proj-Prio-5,A5,Plant,15N,No,,3.8,622974,221665
11/08/13,Hickory King,Madi-629-2,4.50,115.14,,Evo-Proj-Prio-5,A6,Plant,15N,No,,4.9,622975,221666
11/08/13,Hickory King,Madi-629-3,5.00,96.99,,Evo-Proj-Prio-5,A7,Plant,15N,No,,3.9,622976,221667
11/08/13,Mo 17,Madi-417-1,1.90,90.43,,Evo-Proj-Prio-4,H2,Plant,15N,No,,4.4,622959,221632
11/08/13,Mo 17,Madi-417-2,2.21,110.12,,Evo-Proj-Prio-4,H3,Plant,15N,No,,5,622960,221633
11/08/13,Mo 17,Madi-417-3,2.23,99.77,,Evo-Proj-Prio-4,H4,Plant,15N,No,,4.7,622961,221634
11/08/13,Mo 17,Madi-516-1,4.38,93.03,,Evo-Proj-Prio-4,H5,Plant,15N,No,,4.7,622962,221635
11/08/13,Mo 17,Madi-516-2,3.88,56.94,,Evo-Proj-Prio-4,H6,Plant,15N,No,,3.4,622963,221636
11/08/13,Mo 17,Madi-516-3,4.03,96.66,,Evo-Proj-Prio-4,H7,Plant,15N,No,,4.8,622964,221637
11/08/13,Mo 17,Madi-610-1,4.23,102.36,,Evo-Proj-Prio-4,H8,Plant,15N,No,,4.8,622965,221638
11/08/13,Mo 17,Madi-610-2,3.67,112.69,,Evo-Proj-Prio-4,H9,Plant,15N,No,,5,622966,221639
11/08/13,Mo 17,Madi-610-3,4.14,95.11,,Evo-Proj-Prio-4,H10,Plant,15N,No,,4.5,622967,221640
11/08/13,Tiltepec,Madi-420-1,1.08,113.21,,Evo-Proj-Prio-4,F8,Plant,15N,No,,3.9,622941,221609
