d15N	NDFA	Type
8.56885996590599	-71.2892623925041	B73
7.51106537331588	-50.1442260342887	B73
10.8791959156742	-117.472271834746	B73
8.3889337591663	-67.6925847294138	B73
10.5375765522536	-110.643390395191	B73
7.17478996799581	-43.4221689149989	B73
6.33697666439589	-26.6745008042756	B73
8.17055551976636	-63.3272610226173	B73
7.25809146803023	-45.0873440437625	B73
8.40848408476358	-68.0833906084241	B73
7.73374056710835	-54.5954447319426	B73
7.50214373648428	-49.9658848549137	B73
7.36235352752209	-47.171515256379	B73
6.29398741694495	-25.8151570273928	B73
5.04589467636584	-0.866110621937869	B73
7.22525602916402	-44.4309722362986	B73
5.89570681695977	-17.8536323358767	B73
5.53740142769238	-10.6912016177803	B73
6.56769445440689	-31.2864888900949	B73
6.88923536467528	-37.7140073193874	B73
5.84770253734082	-16.8940393818162	B73
3.88718779205004	22.2961359701717	B73
6.37866825561836	-27.5079047736345	B73
5.37934789189226	-7.53175290774808	B73
3.26445490039389	34.7444030796524	B73
2.99981969259987	40.0343914475895	B73
3.68673651765436	26.3031043502699	B73
4.00962838474326	19.8485806486039	Mo17
3.61853759613836	27.6663828971149	Mo17
5.03236379477059	-0.595631849126443	Mo17
4.35747590224823	12.8952000430674	Mo17
4.37861360192428	12.472662972723	Mo17
3.23140056432918	35.4051505846794	Mo17
2.73445035040866	45.3390549695018	Mo17
3.66494406466482	26.7387297675544	Mo17
5.00349721473504	-0.0185964883249522	Mo17
5.66600793530316	-13.262011960717	Mo17
3.90994676619916	21.8411900485061	Mo17
3.67491473735118	26.5394186366923	Mo17
5.24843428919461	-4.91482433936818	Mo17
5.60395185596119	-12.0215272171513	Mo17
5.3913828788474	-7.77232913920145	Mo17
5.71123108709326	-14.1660108992003	Mo17
5.267049236313	-5.28693224801309	Mo17
4.5168373508904	9.70960649849693	Mo17
4.68626198984833	6.32285241992764	Mo17
3.5504814838648	29.0268067246745	Mo17
5.20528566227869	-4.05229460879896	Mo17
4.25560344581515	14.9316037175309	Mo17
6.05833445735063	-21.1045161965092	Mo17
9.25563435173939	-85.0177021671678	HickoryKing
8.46731546227749	-69.2594144085547	HickoryKing
8.28514525787455	-65.6178798209636	HickoryKing
8.91238571900956	-78.1562520616156	HickoryKing
9.34536020764694	-86.8112984841914	HickoryKing
8.68154157542121	-73.5417382009381	HickoryKing
8.43541973769592	-68.6218272430753	HickoryKing
9.48383729670342	-89.5794191603517	HickoryKing
8.519909421384	-70.3107538513161	HickoryKing
8.08105218925781	-61.5381129299326	HickoryKing
8.31484206645601	-66.2115112325598	HickoryKing
9.09592314960923	-81.8251171421421	HickoryKing
8.26668404008998	-65.2488449213657	HickoryKing
6.38927655694977	-27.7199619338079	HickoryKing
11.0939855671907	-121.765860611337	HickoryKing
9.68183152098383	-93.5372717533346	HickoryKing
8.10612215396993	-62.0392549465872	HickoryKing
9.02758120600304	-80.4589796212406	HickoryKing
7.35117850887976	-46.9481295658575	HickoryKing
6.7015360908566	-33.9619480849111	HickoryKing
4.65990388393831	6.84974404114164	HickoryKing
9.58767813991173	-91.6551703699802	HickoryKing
8.31149676516933	-66.1446395375902	HickoryKing
8.45347717058641	-68.982790588587	HickoryKing
8.84497924949452	-76.8088144223434	HickoryKing
8.37443402483896	-67.4027388446987	HickoryKing
8.43223545035036	-68.5581741745415	HickoryKing
6.90617363170059	-38.0525988329044	HickoryKing
-0.111679004161263	102.232433990475	Jala
1.39348067946746	72.1446868435374	Jala
3.8274498788362	23.4902811810842	Jala
1.84067521478222	63.2053854189838	Jala
6.19292213196162	-23.7948884984215	Jala
0.980024775125239	80.4095618874041	Jala
2.72578715360427	45.5122300005432	Jala
2.13844870095143	57.2529715612582	Jala
5.90641280940143	-18.0676423157116	Jala
5.51800504199426	-10.3034729569631	Jala
7.34995686362676	-46.9237091977893	Jala
8.04114937457804	-60.7404661343172	Jala
0.347822141877857	93.0471266465912	Jala
0.524565540255232	89.5140724875478	Jala
2.43504551292062	51.3240791120515	Jala
5.32190366211177	-6.38345782684401	Jala
2.40632955284123	51.8981036194494	Jala
4.36420178160296	12.7607514795248	Jala
0.377473288457972	92.4544080064211	Jala
1.90234558359443	61.9726109277041	Jala
4.4400176720806	11.2452117217021	Jala
0.933686221506409	81.3358574157808	Jala
3.11066445717664	37.8186336875176	Jala
1.80759218867039	63.8667064305249	Jala
0.239355239514655	95.2153515649253	Jala
-0.611635966920732	112.226442495668	Jaltepec
-0.387643882199605	107.74889949388	Jaltepec
-1.43010685229713	128.587460741231	Jaltepec
-0.409608235142222	108.187961146123	Moctum
1.00001275634094	80.0100073874152	Cristobal
7.00348185687652	-39.9977647221158	Cristobal
6.16183237940962	-23.1734125023397	Cristobal
3.9836552145119	20.3677775066021	Cristobal
1.60528201629697	67.9108336934542	Cristobal
3.50320858089781	29.9717796513633	Cristobal
2.44394593106778	51.146162088611	Cristobal
5.77920068748347	-15.5247053769109	Cristobal
8.29876728548236	-65.8901805786508	Cristobal
3.3213995237619	33.6060949998454	Cristobal
3.18229500860825	36.3867577590618	Cristobal
1.56730440002413	68.669996278055	Cristobal
3.83059398170855	23.4274313896261	Cristobal
2.06691521917512	58.682907092774	Cristobal
4.55574075973843	8.93193756323042	Cristobal
6.42840378153795	-28.5021048869945	Cristobal
5.39498203948698	-7.84427541602691	Cristobal
3.03758767665864	39.2794193559438	Cristobal
1.25077514453178	74.9973330433492	Cristobal
2.45236420924896	50.9778829165849	Cristobal
2.05756563728296	58.8698027816239	Cristobal
4.49260247353689	10.1940553379659	Cristobal
