GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
2000,SEEDGWAS3165,CIMMYTMA-000225,1947-01-01,7,5,109,17.580798,-101.267595,5.29679301745924
2002,SEEDGWAS2314,CIMMYTMA-000233,1952-01-29,7,5,1137,18.332954,-97.241203,1.68176502617607
2039,SEEDGWAS5189,CIMMYTMA-000234,1952-01-29,7,5,1137,18.332954,-97.241203,1.68176502617607
2045,SEEDGWAS3379,CIMMYTMA-000237,1943-01-01,6,4,1677,18.483431,-97.427292,1.92086142794762
2083,SEEDGWAS3380,CIMMYTMA-000238,1943-01-01,6,4,1677,18.483431,-97.427292,1.92086142794762
2116,SEEDGWAS5190,CIMMYTMA-000239,1943-01-01,6,4,1677,18.483431,-97.427292,1.92086142794762
2116,SEEDGWAS4286,CIMMYTMA-000239,1943-01-01,6,4,1677,18.483431,-97.427292,1.92086142794762
2121,SEEDGWAS6,CIMMYTMA-000241,1943-01-01,7,5,22,18.10027778,-95.9305556,0.88518555370214
2127,SEEDGWAS685,CIMMYTMA-000245,1952-01-29,7,5,981,18.12723,-97.081927,1.42689654628672
2130,SEEDGWAS3166,CIMMYTMA-000246,1952-01-28,7,5,650,17.96666667,-97.01666667,1.27682339364369
2132,SEEDGWAS3799,CIMMYTMA-000247,1952-01-29,7,5,981,18.12723,-97.081927,1.42689654628672
2141,SEEDGWAS3167,CIMMYTMA-000248,1952-01-01,7,5,981,18.12723,-97.081927,1.42689654628672
2165,SEEDGWAS4042,CIMMYTMA-000255,1946-01-01,6,4,744,16.657461,-96.094961,0.570238687586171
2166,SEEDGWAS2671,CIMMYTMA-000258,1952-01-01,7,5,2188,17.4311111,-96.93361111,0.974173885079034
2166,SEEDGWAS4287,CIMMYTMA-000258,1952-01-01,7,5,2188,17.4311111,-96.93361111,0.974173885079034
2193,SEEDGWAS1179,CIMMYTMA-000261,1954-01-01,7,5,303,16.409733,-98.06005,2.22798024642164
2233,SEEDGWAS1180,CIMMYTMA-000262,1947-01-01,7,5,139,16.735414,-98.281497,2.34801239794534
2235,SEEDGWAS591,CIMMYTMA-000268,1946-01-01,6,4,1337,15.925349,-96.419028,1.36283979621561
2249,SEEDGWAS4899,CIMMYTMA-000273,1944-01-01,7,5,1735,20.5,-100.983333,5.98166160768803
2249,SEEDGWAS2317,CIMMYTMA-000273,1944-01-01,7,5,1735,20.5,-100.983333,5.98166160768803
2262,SEEDGWAS4210,CIMMYTMA-000279,1943-01-01,7,5,1790,21.045822,-101.664012,6.85073294728863
2263,SEEDGWAS5191,CIMMYTMA-000280,1952-02-02,7,5,1768,20.59568,-100.777428,5.8652430233703
2263,SEEDGWAS4900,CIMMYTMA-000280,1952-02-02,7,5,1768,20.59568,-100.777428,5.8652430233703
2269,SEEDGWAS2672,CIMMYTMA-000283,1952-01-30,7,5,1944,20.765746,-100.050632,5.39804435917693
2269,SEEDGWAS4288,CIMMYTMA-000283,1952-01-30,7,5,1944,20.765746,-100.050632,5.39804435917693
2285,SEEDGWAS4960,CIMMYTMA-000284,,7,5,2247,21.141034,-99.631435,5.35810643353535
2285,SEEDGWAS2673,CIMMYTMA-000284,,7,5,2247,21.141034,-99.631435,5.35810643353535
2291,SEEDGWAS2674,CIMMYTMA-000285,1952-02-02,7,5,1803,20.610849,-100.476326,5.63093753714006
2769,SEEDGWAS4211,CIMMYTMA-000293,1946-01-01,7,5,1807,21.13333333,-101.6666667,6.90221392642326
2805,SEEDGWAS3682,CIMMYTMA-000299,1945-02-04,7,5,1877,21.368926,-101.914332,7.24002789642982
2821,SEEDGWAS3381,CIMMYTMA-000300,1944-01-01,7,5,1567,20.15,-103.05,7.65128910561991
2823,SEEDGWAS1755,CIMMYTMA-000307,,7,5,907,19.76666667,-104.35,8.74663449595837
2829,SEEDGWAS3168,CIMMYTMA-000320,1952-01-01,7,5,681,19.27416667,-102.9836111,7.29638255366245
2830,SEEDGWAS4901,CIMMYTMA-000326,1944-01-01,7,5,1298,20.507845,-104.060951,8.7223715342565
2830,SEEDGWAS2322,CIMMYTMA-000326,1944-01-01,7,5,1298,20.507845,-104.060951,8.7223715342565
2853,SEEDGWAS1085,CIMMYTMA-000328,1952-01-01,7,5,1554,20.55,-102.8,7.58802068248222
2856,SEEDGWAS1756,CIMMYTMA-000332,1945-06-02,7,5,907,19.76666667,-104.35,8.74663449595837
2860,SEEDGWAS5192,CIMMYTMA-000333,1946-01-01,7,5,870,19.8,-104.2,8.61320068138308
2862,SEEDGWAS2323,CIMMYTMA-000342,1944-01-01,7,5,1364,19.88333333,-103.5833333,8.05426060390126
2862,SEEDGWAS4293,CIMMYTMA-000342,1944-01-01,7,5,1364,19.88333333,-103.5833333,8.05426060390126
2867,SEEDGWAS5193,CIMMYTMA-000361,1952-07-02,7,5,860,21.43333333,-104.6,9.59308214952027
3089,SEEDGWAS3800,CIMMYTMA-000371,1950-01-01,7,5,454,28.975149,-109.395459,17.8366763379336
3101,SEEDGWAS3803,CIMMYTMA-000375,1950-01-01,8,6,633,29.799589,-109.69121,18.6074129826049
3188,SEEDGWAS592,CIMMYTMA-000376,1950-01-01,8,6,759,30.643365,-110.95676,20.1116815633982
3276,SEEDGWAS2326,CIMMYTMA-000383,1943-01-01,NA,NA,1433,28.65,-106.083333,15.255526981684
3276,SEEDGWAS4294,CIMMYTMA-000383,1943-01-01,NA,NA,1433,28.65,-106.083333,15.255526981684
3280,SEEDGWAS4903,CIMMYTMA-000384,1943-02-10,7,5,1524,27.008378,-105.259161,13.4877199479047
3280,SEEDGWAS2327,CIMMYTMA-000384,1943-02-10,7,5,1524,27.008378,-105.259161,13.4877199479047
3299,SEEDGWAS4214,CIMMYTMA-000395,1943-01-01,7,5,1208,28.05,-105.3333333,14.3102623839987
3300,SEEDGWAS1759,CIMMYTMA-000396,1943-02-10,7,5,1587,26.95746,-105.370775,13.5280122550289
3303,SEEDGWAS1760,CIMMYTMA-000397,1943-02-10,7,5,1505,27.1283333,-105.3313889,13.6245101912722
3309,SEEDGWAS1761,CIMMYTMA-000399,1943-02-09,7,5,1379,27.130649,-104.890933,13.3278796834427
3436,SEEDGWAS686,CIMMYTMA-000411,1953-02-07,7,5,88,22.953007,-98.927143,6.44760528504188
3439,SEEDGWAS687,CIMMYTMA-000415,1953-02-06,6,4,220,24.041477,-99.205617,7.54726080858188
3440,SEEDGWAS3804,CIMMYTMA-000416,1953-02-04,7,5,343,22.846632,-99.318806,6.54384336876686
3451,SEEDGWAS1183,CIMMYTMA-000417,1953-02-06,6,4,220,24.041477,-99.205617,7.54726080858188
3682,SEEDGWAS4045,CIMMYTMA-000424,1952-01-14,7,5,903,21.7722222,-99.9072222,6.01248614419391
3683,SEEDGWAS594,CIMMYTMA-000425,1945-01-01,7,5,1597,22.545288,-100.465567,6.96309007498804
3684,SEEDGWAS1087,CIMMYTMA-000428,1952-01-13,7,5,1057,22.031961,-100.21527,6.41064326557055
3694,SEEDGWAS2084,CIMMYTMA-000432,1952-01-24,7,5,298,21.399889,-98.712616,4.99483052719239
3696,SEEDGWAS3806,CIMMYTMA-000435,1952-01-23,7,5,95,21.426842,-98.869208,5.10429701783213
3698,SEEDGWAS1088,CIMMYTMA-000436,1952-01-14,7,5,1078,22.05427,-99.816363,6.17207596895153
3831,SEEDGWAS4046,CIMMYTMA-000437,1945-01-01,7,5,989,21.909795,-99.99446,6.17370150189601
5408,SEEDGWAS1766,CIMMYTMA-000446,1952-01-29,7,5,1141,25.434457,-103.274676,10.9861619880534
5468,SEEDGWAS595,CIMMYTMA-000447,1952-01-01,7,5,1483,25.458737,-102.184609,10.3144336690424
5474,SEEDGWAS3809,CIMMYTMA-000449,1952-02-03,7,5,356,28.26979,-100.726374,12.027799714861
5475,SEEDGWAS3170,CIMMYTMA-000451,1952-02-04,10,8,354,28.550497,-100.927528,12.3653049564871
5476,SEEDGWAS3810,CIMMYTMA-000452,1952-02-03,7,5,349,28.3461111,-100.7757778,12.117427661681
5509,SEEDGWAS10,CIMMYTMA-000459,1952-01-01,8,6,163,19.938631,-96.87067,2.86294515645428
5511,SEEDGWAS2087,CIMMYTMA-000465,1959-07-09,7,5,150,21.28333333,-97.96666667,4.52453174219292
5519,SEEDGWAS12,CIMMYTMA-000467,1959-01-01,8,6,8,20.2,-96.85,3.1066682278251
5528,SEEDGWAS13,CIMMYTMA-000470,1943-01-01,8,6,31,20.474435,-97.113749,3.44831736864228
5529,SEEDGWAS14,CIMMYTMA-000471,1943-01-01,7,5,13,19.344444,-96.354444,2.15989776055488
5530,SEEDGWAS1184,CIMMYTMA-000472,1944-01-01,8,6,17,20.480001,-97.097646,3.44833905779652
5531,SEEDGWAS15,CIMMYTMA-000474,1959-07-05,7,5,51,20.998948,-97.505195,4.07697357239472
5722,SEEDGWAS30,CIMMYTMA-000502,1944-01-01,7,5,432,16.567982,-92.81747,3.23163747409792
5723,SEEDGWAS31,CIMMYTMA-000504,1944-01-01,7,5,812,16.76666667,-93.38333333,2.63865469150479
5725,SEEDGWAS1185,CIMMYTMA-000505,1943-01-01,7,5,572,16.25,-93.26666667,2.88352579968424
5727,SEEDGWAS32,CIMMYTMA-000506,1944-01-01,7,5,700,16.332904,-92.564373,3.53133466578417
5728,SEEDGWAS33,CIMMYTMA-000507,,7,5,28,15.28333333,-92.7,3.8102565095338
5759,SEEDGWAS3811,CIMMYTMA-000528,1953-03-07,7,5,146,25.677925,-99.21347,9.05685773220122
5761,SEEDGWAS3172,CIMMYTMA-000533,1953-03-13,7,5,320,25.25,-99.68333333,8.84445823840494
5775,SEEDGWAS2677,CIMMYTMA-000544,1952-01-24,7,5,2597,20.2,-100.15,5.12458678117349
5775,SEEDGWAS4295,CIMMYTMA-000544,1952-01-24,7,5,2597,20.2,-100.15,5.12458678117349
5776,SEEDGWAS4904,CIMMYTMA-000545,,7,5,1330,21.054943,-99.813582,5.4224689998355
5776,SEEDGWAS2331,CIMMYTMA-000545,,7,5,1330,21.054943,-99.813582,5.4224689998355
5780,SEEDGWAS3683,CIMMYTMA-000548,,7,5,2039,20.7,-99.8,5.16725805217602
5780,SEEDGWAS4296,CIMMYTMA-000548,,7,5,2039,20.7,-99.8,5.16725805217602
5782,SEEDGWAS2678,CIMMYTMA-000554,1943-01-01,7,5,2064,21.01666667,-101.25,6.49444214547247
5782,SEEDGWAS4297,CIMMYTMA-000554,1943-01-01,7,5,2064,21.01666667,-101.25,6.49444214547247
5785,SEEDGWAS2333,CIMMYTMA-000560,1943-01-01,7,5,1820,20.816667,-102.733333,7.65
5785,SEEDGWAS4905,CIMMYTMA-000560,1943-01-01,7,5,1820,20.816667,-102.733333,7.65
5788,SEEDGWAS4299,CIMMYTMA-000568,1952-01-01,7,5,1441,20.375341,-104.69997,9.27129883177351
5788,SEEDGWAS5194,CIMMYTMA-000568,1952-01-01,7,5,1441,20.375341,-104.69997,9.27129883177351
5792,SEEDGWAS1767,CIMMYTMA-000577,1946-01-01,7,5,1563,20.66666667,-103.3333333,8.11942129298636
5793,SEEDGWAS2334,CIMMYTMA-000578,1946-01-01,7,5,1226,19.41666667,-103.5333333,7.86400045002543
5795,SEEDGWAS4300,CIMMYTMA-000584,1945-01-01,7,5,1794,21.18333333,-102.85,7.93004145401804
5795,SEEDGWAS2679,CIMMYTMA-000584,1945-01-01,7,5,1794,21.18333333,-102.85,7.93004145401804
5800,SEEDGWAS1187,CIMMYTMA-000587,1946-01-01,7,5,15,22.024349,-105.22623,10.4184908295651
5801,SEEDGWAS2092,CIMMYTMA-000588,1946-01-01,7,5,7,22.36666667,-105.5333333,10.8501153141798
5801,SEEDGWAS4301,CIMMYTMA-000588,1946-01-01,7,5,7,22.36666667,-105.5333333,10.8501153141798
5805,SEEDGWAS4889,CIMMYTMA-000589,1946-01-01,7,5,8,22.431118,-105.460404,10.8169022354111
5805,SEEDGWAS2093,CIMMYTMA-000589,1946-01-01,7,5,8,22.431118,-105.460404,10.8169022354111
5806,SEEDGWAS4302,CIMMYTMA-000592,1952-01-01,7,5,1841,22.36666667,-103.2,8.86582084129209
5806,SEEDGWAS2680,CIMMYTMA-000592,1952-01-01,7,5,1841,22.36666667,-103.2,8.86582084129209
5808,SEEDGWAS2335,CIMMYTMA-000596,1943-01-01,7,5,1508,20.509937,-103.567399,8.26823345009415
5808,SEEDGWAS4906,CIMMYTMA-000596,1943-01-01,7,5,1508,20.509937,-103.567399,8.26823345009415
