Subdate,Variety,SampleID,d15N,Namount,TrayName,SampleWeight
12/6/13,Mo 17,EVO1C-2-2-1-T2,2.34,124.76,EVO-PROJ-19,2.7
12/6/13,B73 x Mo 17,EVO1D-2-1-1-T2,6.93,68.41,EVO-PROJ-19,2.4
12/6/13,B73 x Mo 17,EVO1D-2-1-2-T2,7.14,89.93,EVO-PROJ-19,3.1
12/6/13,B73 x Mo 17,EVO1D-2-1-3-T2,7.02,92.72,EVO-PROJ-19,3
12/6/13,San Miguel de Metepec,EVO2B-1-1-1-T2,6.65,101.08,EVO-PROJ-19,4.2
12/6/13,San Miguel de Metepec,EVO2B-1-1-2-T2,6.89,86.82,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-1-1-3-T2,6.7,99.84,EVO-PROJ-19,4.1
12/6/13,San Miguel de Metepec,EVO2B-1-2-1-T2,6.71,131.49,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-1-2-2-T2,6.4,100.15,EVO-PROJ-19,3.9
12/6/13,San Miguel de Metepec,EVO2B-1-2-3-T2,6.31,131.79,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-1-3-1-T2,6.85,51.75,EVO-PROJ-19,2.9
12/6/13,San Miguel de Metepec,EVO2B-1-3-2-T2,6.84,48.28,EVO-PROJ-19,2.8
12/6/13,San Miguel de Metepec,EVO2B-1-3-3-T2,7.42,50.17,EVO-PROJ-19,2.9
12/6/13,San Miguel de Metepec,EVO2B-1-4-1-T2,7.56,78.1,EVO-PROJ-19,3
12/6/13,San Miguel de Metepec,EVO2B-1-4-2-T2,7.63,106.33,EVO-PROJ-19,4.5
12/6/13,San Miguel de Metepec,EVO2B-1-4-3-T2,7.64,59.31,EVO-PROJ-19,2.7
12/6/13,San Miguel de Metepec,EVO2B-1-5-1-T2,7.54,73.73,EVO-PROJ-19,3.3
12/6/13,San Miguel de Metepec,EVO2B-1-5-2-T2,8.09,74.66,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-1-5-3-T2,8.14,69.97,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-1-6-1-T2,7.42,129.35,EVO-PROJ-19,4.6
12/6/13,San Miguel de Metepec,EVO2B-1-6-2-T2,6.29,78.41,EVO-PROJ-19,2.9
12/6/13,San Miguel de Metepec,EVO2B-1-6-3-T2,7.02,90.86,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-2-1-1-T2,6.45,109.41,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-2-1-2-T2,6.99,116.18,EVO-PROJ-19,4.2
12/6/13,San Miguel de Metepec,EVO2B-2-1-3-T2,7.03,112.49,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-2-2-1-T2,6,125.68,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-2-2-2-T2,6.04,118.33,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-2-2-3-T2,6.04,136.36,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-2-4-1-T2,7.21,107.56,EVO-PROJ-19,3.2
12/6/13,San Miguel de Metepec,EVO2B-2-4-2-T2,7.49,111.26,EVO-PROJ-19,3.8
12/6/13,San Miguel de Metepec,EVO2B-2-4-3-T2,7.38,81.84,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-2-5-1-T2,8.03,53.96,EVO-PROJ-19,2.7
12/6/13,San Miguel de Metepec,EVO2B-2-5-2-T2,7.94,48.59,EVO-PROJ-19,2.7
12/6/13,San Miguel de Metepec,EVO2B-2-5-3-T2,8.35,50.17,EVO-PROJ-19,2.6
12/6/13,San Miguel de Metepec,EVO2B-2-6-1-T2,7.6,110.33,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-2-6-2-T2,7.41,75.91,EVO-PROJ-19,2.6
12/6/13,San Miguel de Metepec,EVO2B-2-6-3-T2,7.73,80.59,EVO-PROJ-19,2.5
12/6/13,San Miguel de Metepec,EVO2B-2-7-1-T2,6.98,79.03,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-2-7-2-T2,6.61,87.13,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-2-7-3-T2,6.55,94.89,EVO-PROJ-19,3.2
12/6/13,San Miguel de Metepec,EVO2B-3-1-1-T2,4.87,137.89,EVO-PROJ-19,3.9
12/6/13,San Miguel de Metepec,EVO2B-3-1-2-T2,4.45,152.75,EVO-PROJ-19,4.7
12/6/13,San Miguel de Metepec,EVO2B-3-1-3-T2,4.54,137.58,EVO-PROJ-19,4
12/6/13,San Miguel de Metepec,EVO2B-3-2-1-T2,7.49,69.97,EVO-PROJ-19,2.9
12/6/13,San Miguel de Metepec,EVO2B-3-2-2-T2,7.59,79.03,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-3-2-3-T2,7.26,63.39,EVO-PROJ-19,2.8
12/6/13,San Miguel de Metepec,EVO2B-3-4-1-T2,6.91,106.94,EVO-PROJ-19,4.1
12/6/13,San Miguel de Metepec,EVO2B-3-4-2-T2,6.41,102.31,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-3-4-3-T2,7.33,102.62,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-3-5-1-T2,7.19,86.51,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-3-5-2-T2,6.85,100.15,EVO-PROJ-19,4.2
12/6/13,San Miguel de Metepec,EVO2B-3-5-3-T2,6.83,74.66,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-3-6-1-T2,7.06,72.16,EVO-PROJ-19,2.7
12/6/13,San Miguel de Metepec,EVO2B-3-6-2-T2,6.92,91.48,EVO-PROJ-19,3.5
12/6/13,San Miguel de Metepec,EVO2B-3-6-3-T2,7.11,69.03,EVO-PROJ-19,2.6
12/6/13,San Miguel de Metepec,EVO2B-3-7-1-T2,7.94,86.2,EVO-PROJ-19,3.4
12/6/13,San Miguel de Metepec,EVO2B-3-7-2-T2,8.11,84.02,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-3-7-3-T2,8.01,98.91,EVO-PROJ-19,4
12/6/13,San Miguel de Metepec,EVO2B-4-2-1-T2,5.2,106.02,EVO-PROJ-19,2.7
12/6/13,San Miguel de Metepec,EVO2B-4-2-2-T2,4.59,177.42,EVO-PROJ-19,5
12/6/13,San Miguel de Metepec,EVO2B-4-2-3-T2,5.02,129.96,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-4-3-1-T2,6.12,60.56,EVO-PROJ-19,2.5
12/6/13,San Miguel de Metepec,EVO2B-4-3-2-T2,6.01,95.51,EVO-PROJ-19,3.9
12/6/13,San Miguel de Metepec,EVO2B-4-3-3-T2,5.8,93.96,EVO-PROJ-19,4.3
12/6/13,San Miguel de Metepec,EVO2B-4-4-1-T2,6.52,96.44,EVO-PROJ-19,3.6
12/6/13,San Miguel de Metepec,EVO2B-4-4-2-T2,6.6,94.27,EVO-PROJ-19,3.7
12/6/13,San Miguel de Metepec,EVO2B-4-4-3-T2,6.64,74.66,EVO-PROJ-19,2.8
12/6/13,San Miguel de Metepec,EVO2B-4-5-1-T2,6.69,67.78,EVO-PROJ-19,2.6
12/6/13,San Miguel de Metepec,EVO2B-4-5-2-T2,7.25,110.95,EVO-PROJ-19,4.4
12/6/13,San Miguel de Metepec,EVO2B-4-5-3-T2,7.29,74.35,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-4-6-1-T2,6.47,102.93,EVO-PROJ-19,3.1
12/6/13,San Miguel de Metepec,EVO2B-4-6-2-T2,6.71,133.62,EVO-PROJ-19,4
12/6/13,San Miguel de Metepec,EVO2B-4-6-3-T2,6.91,85.57,EVO-PROJ-19,2.8
12/6/13,San Miguel de Metepec,EVO2B-4-7-1-T2,7.9,121.7,EVO-PROJ-19,4.9
12/6/13,San Miguel de Metepec,EVO2B-4-7-2-T2,7.34,68.09,EVO-PROJ-19,2.6
12/6/13,San Miguel de Metepec,EVO2B-4-7-3-T2,7.73,108.49,EVO-PROJ-19,4.3
12/6/13,"Jala, Nayarit",EVO2C-1-1-1-T2,1.42,122.31,EVO-PROJ-19,4
12/6/13,"Jala, Nayarit",EVO2C-1-1-2-T2,1.37,138.19,EVO-PROJ-19,4.3
12/6/13,"Jala, Nayarit",EVO2C-1-1-3-T2,1.42,153.66,EVO-PROJ-19,4.5
12/6/13,"Jala, Nayarit",EVO2C-1-2-1-T2,5.47,83.4,EVO-PROJ-19,3.1
12/6/13,"Jala, Nayarit",EVO2C-1-2-2-T2,5.69,113.72,EVO-PROJ-19,4.1
12/6/13,"Jala, Nayarit",EVO2C-1-2-3-T2,5.64,79.35,EVO-PROJ-19,3.1
