GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames27181:81N4HABXX:3:F6,NC370,NC370,NCRPIS,AMES 27181,06ncei01 SD,
Ames27182:81FE7ABXX:5:G8,NC372,NC372,NCRPIS,AMES 27182,04ncai01 SD,
Ames27182:81N4HABXX:7:B3,NC372,NC372,NCRPIS,AMES 27182,06ncei01 SD,
Ames27183:81N4HABXX:6:C10,Oh43E,Oh43E,NCRPIS,AMES 27183,04ncai01 SD,
Ames27184:81FE7ABXX:5:C6,Pa762,Pa762,NCRPIS,AMES 27184,03ncai01 SD,
Ames27185:81FE7ABXX:5:G9,Pa875,Pa875,NCRPIS,AMES 27185,03ncai01 SD,
Ames27187:81FENABXX:5:A7,R4,R4,NCRPIS,AMES 27187,04ncai01 SD,
Ames27188:81FE7ABXX:2:F12,SA24,SA24,NCRPIS,AMES 27188,03ncai01 SD,
Ames27188:D0D0BACXX:3:C9,SA24,SA24,NCRPIS,AMES 27188,10630,
Ames27189:81N4HABXX:3:E5,SC55,SC55,NCRPIS,AMES 27189,04ncai01 SD,
Ames27190:81N4HABXX:1:G3,T234,T234,NCRPIS,AMES 27190,04ncai01 SD,
Ames27191:81N4HABXX:1:E12,U267Y,U267Y,NCRPIS,AMES 27191,04ncai01 SD,
Ames27192:81FE8ABXX:7:E12,Va14,Va14,NCRPIS,AMES 27192,04ncai01 SD,
Ames27193:81FE7ABXX:5:D2,Va85,Va85,NCRPIS,AMES 27193,04ncai01 SD,
Ames27194:81FE8ABXX:6:F3,W401,W401,NCRPIS,AMES 27194,03ncai01 SD,
Ames27196:81FE8ABXX:1:F7,Yu796_NS,Yu796_NS,NCRPIS,AMES 27196,04ncai01 SD,
Ames27197:D0D0BACXX:3:E10,GEMN-0044,GEMN-0044,NCRPIS,AMES 27197,12078,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27198:D0D0BACXX:3:H1,GEMN-0045,GEMN-0045,NCRPIS,AMES 27198,12150,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27199:D0D0BACXX:3:D3,GEMN-0046,GEMN-0046,NCRPIS,AMES 27199,12139,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27200:D0D0BACXX:3:E6,GEMN-0047,GEMN-0047,NCRPIS,AMES 27200,12112,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27201:D0D0BACXX:4:C3,GEMN-0048,GEMN-0048,NCRPIS,AMES 27201,12194,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27202:D0D0BACXX:3:B5,GEMS-0049,GEMS-0049,NCRPIS,AMES 27202,12124,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27203:D0D0BACXX:3:H3,GEMS-0050,GEMS-0050,NCRPIS,AMES 27203,12135,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27204:D0D0BACXX:3:E2,GEMS-0051,GEMS-0051,NCRPIS,AMES 27204,12145,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27205:D0D0BACXX:3:H8,GEMS-0052,GEMS-0052,NCRPIS,AMES 27205,12092,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27206:D0D0BACXX:3:B3,GEMS-0053,GEMS-0053,NCRPIS,AMES 27206,12141,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27207:D0D0BACXX:3:H6,GEMS-0054,GEMS-0054,NCRPIS,AMES 27207,12109,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27208:D0D0BACXX:3:F6,GEMS-0055,GEMS-0055,NCRPIS,AMES 27208,12111,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27209:D0D0BACXX:4:D2,GEMN-0056,GEMN-0056,NCRPIS,AMES 27209,12187,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27210:D0D0BACXX:3:E9,GEMN-0057,GEMN-0057,NCRPIS,AMES 27210,12087,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27211:D0D0BACXX:3:C12,GEMN-0058,GEMN-0058,NCRPIS,AMES 27211,12170,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27212:D0D0BACXX:3:H2,GEMN-0059,GEMN-0059,NCRPIS,AMES 27212,12143,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27213:D0D0BACXX:3:F4,GEMN-0060,GEMN-0060,NCRPIS,AMES 27213,12129,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27214:D0D0BACXX:3:A4,GEMS-0061,GEMS-0061,NCRPIS,AMES 27214,12134,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27215:D0D0BACXX:3:E1,GEMS-0062,GEMS-0062,NCRPIS,AMES 27215,12153,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27216:D0D0BACXX:4:E1,GEMS-0063,GEMS-0063,NCRPIS,AMES 27216,12180,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27217:D0D0BACXX:3:C11,GEMS-0064,GEMS-0064,NCRPIS,AMES 27217,12161,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27218:D0D0BACXX:3:B1,GEMS-0065,GEMS-0065,NCRPIS,AMES 27218,12156,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27219:D0D0BACXX:3:B7,GEMS-0066,GEMS-0066,NCRPIS,AMES 27219,12107,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27261:81FE8ABXX:7:D11,NC298,NC298,NCRPIS,AMES 27261,07ncai02 SD,
Ames27261:81N4HABXX:1:G10,NC298,NC298,NCRPIS,AMES 27261,08ncai01 SD,
Ames27444:81FE7ABXX:4:F6,Il731a,Il731a,NCRPIS,AMES 27444,05ncai01 SD,
Ames27444:D0D0BACXX:3:H10,Il731a,Il731a,NCRPIS,AMES 27444,10753,
Ames27445:81FE7ABXX:3:D10,Il767b,Il767b,NCRPIS,AMES 27445,05ncai01 SD,
Ames27445:D0D0BACXX:3:A2,Il767b,Il767b,NCRPIS,AMES 27445,11735,
Ames27446:81N4HABXX:7:G9,Il778d,Il778d,NCRPIS,AMES 27446,05ncai01 SD,
Ames27447:81FENABXX:1:A7,Il779a,Il779a,NCRPIS,AMES 27447,05ncai01 SD,
Ames27450:81FE8ABXX:4:A5,LH143Maintainer,LH143 (Maintainer),NCRPIS,AMES 27450,04ncai01 SD,
Ames27451:81FE8ABXX:5:E7,A632.75A1A2C1R1-rB1Pl1,A632.75 A1 A2 C1 R1-r B1 Pl1,NCRPIS,AMES 27451,05ncai02 SD,
Ames28170:81FE8ABXX:5:B10,A619E,A619E,NCRPIS,AMES 28170,07ncai01 SD,
Ames28186:81FENABXX:4:A1,P39Goodman-Buckler,P39 Goodman-Buckler,NCRPIS,AMES 28186,07ncai01 SD,
Ames28186:81FENABXX:5:B11,P39Goodman-Buckler,P39 Goodman-Buckler,NCRPIS,AMES 28186,07ncai02 SD,
Ames28186:D0D0BACXX:3:B2,P39Goodman-Buckler,P39 Goodman-Buckler,NCRPIS,AMES 28186,10071,
Ames28290:81FENABXX:3:F5,C49,C49,NCRPIS,AMES 28290,08ncai01 SD,
Ames28291:81FE8ABXX:7:D4,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,06ncai01 SD,
Ames28291:81N4HABXX:1:C10,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,07ncai01 SD,
Ames28291:D0D0BACXX:4:A8,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12917,
Ames28291:D0D0BACXX:4:B10,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,13051,
Ames28291:D0D0BACXX:4:B9,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12937,
Ames28291:D0D0BACXX:4:C1,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,13114,
Ames28291:D0D0BACXX:4:C8,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12921,
Ames28291:D0D0BACXX:4:D8,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12925,
Ames28291:D0D0BACXX:4:D9,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12957,
Ames28291:D0D0BACXX:4:E8,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,12926,
Ames28291:D0D0BACXX:4:F10,Hi27Goodman-Buckler,Hi27 Goodman-Buckler,NCRPIS,AMES 28291,13025,
Ames28360:81FE7ABXX:3:C4,Mo401,Mo401,NCRPIS,AMES 28360,06ncei01 SD,
Ames28361:81FE7ABXX:1:H6,Mo402,Mo402,NCRPIS,AMES 28361,06ncei01 SD,
Ames28362:81FE7ABXX:3:E2,Mo403,Mo403,NCRPIS,AMES 28362,06ncei01 SD,
Ames28364:81FENABXX:2:D10,IA2132Goodman-Buckler,IA2132 Goodman-Buckler,NCRPIS,AMES 28364,06ncai01 SD,
Ames28365:81FENABXX:7:E2,CI91BGoodman-Buckler,CI 91B Goodman-Buckler,NCRPIS,AMES 28365,06ncai01 SD,
Ames28366:81FENABXX:1:F4,N7AGoodman-Buckler,N7A Goodman-Buckler,NCRPIS,AMES 28366,07ncai01 SD,
Ames28367:81FENABXX:5:D4,CI7Goodman-Buckler,CI 7 Goodman-Buckler,NCRPIS,AMES 28367,06ncai01 SD,
Ames28411:81N4HABXX:1:B12,NC258A,NC258A,NCRPIS,AMES 28411,06ncao02 SD,
Ames28412:81FE7ABXX:6:B3,NC262A,NC262A,NCRPIS,AMES 28412,06ncao01 SD,
Ames28413:81FENABXX:1:F2,NC262B,NC262B,NCRPIS,AMES 28413,08ncai01 SD,
Ames28414:81FE7ABXX:1:H2,NC266,NC266,NCRPIS,AMES 28414,06ncao01 SD,
Ames28415:81FE7ABXX:2:H11,NC266B,NC266B,NCRPIS,AMES 28415,06ncao01 SD,
Ames28416:81FENABXX:5:H7,NC268A,NC268A,NCRPIS,AMES 28416,06ncao01 SD,
Ames28417:81FE7ABXX:2:C6,NC270,NC270,NCRPIS,AMES 28417,06ncao02 SD,
Ames28418:81FE7ABXX:2:G12,NC276,NC276,NCRPIS,AMES 28418,06ncao01 SD,
Ames28419:81FENABXX:4:A9,NC278,NC278,NCRPIS,AMES 28419,06ncao01 SD,
Ames28420:81FE7ABXX:3:D4,NC278A,NC278A,NCRPIS,AMES 28420,06ncao01 SD,
Ames28421:81FE7ABXX:1:A12,NC280,NC280,NCRPIS,AMES 28421,06ncao01 SD,
Ames28422:81FENABXX:3:A11,NC282,NC282,NCRPIS,AMES 28422,06ncao01 SD,
Ames28423:81FE7ABXX:2:A2,NC284,NC284,NCRPIS,AMES 28423,06ncao01 SD,
Ames28424:81FENABXX:4:G10,NC286,NC286,NCRPIS,AMES 28424,06ncao01 SD,
Ames28425:81FENABXX:3:F9,NC288,NC288,NCRPIS,AMES 28425,06ncao01 SD,
Ames28426:81FENABXX:5:G7,NC290,NC290,NCRPIS,AMES 28426,06ncao01 SD,
Ames28927:81N4HABXX:3:A2,Mo27W,Mo27W,NCRPIS,AMES 28927,09ncai01 SD,
Ames28928:81FE7ABXX:7:D11,Mo28W,Mo28W,NCRPIS,AMES 28928,07ncai01 SD,
Ames28929:81FE8ABXX:3:C11,Mo29W,Mo29W,NCRPIS,AMES 28929,08ncai01 SD,
Ames28930:81FENABXX:5:B7,Mo30W,Mo30W,NCRPIS,AMES 28930,07ncai01 SD,
Ames28931:81FENABXX:3:G11,Mo31W,Mo31W,NCRPIS,AMES 28931,07ncai01 SD,
Ames28932:81FE7ABXX:1:G7,Mo32W,Mo32W,NCRPIS,AMES 28932,07ncai01 SD,
Ames28933:81FE7ABXX:1:G5,Mo33W,Mo33W,NCRPIS,AMES 28933,08ncai01 SD,
Ames28934:81FENABXX:4:G11,Mo36,Mo36,NCRPIS,AMES 28934,07ncai01 SD,
Ames28935:81FE7ABXX:1:E6,Mo37,Mo37,NCRPIS,AMES 28935,07ncai01 SD,
Ames28936:81FENABXX:4:D11,Mo38,Mo38,NCRPIS,AMES 28936,07ncai01 SD,
Ames28937:81FENABXX:4:F12,Mo39,Mo39,NCRPIS,AMES 28937,07ncai01 SD,
Ames28938:81FE7ABXX:1:C10,Mo43,Mo43,NCRPIS,AMES 28938,07ncai01 SD,
Ames28939:81FE7ABXX:5:H3,Mo44,Mo44,NCRPIS,AMES 28939,07ncai01 SD,
Ames28940:81FENABXX:4:B8,Mo501,Mo501,NCRPIS,AMES 28940,07ncai01 SD,
Ames28941:81FENABXX:5:E5,Mo502W,Mo502W,NCRPIS,AMES 28941,07ncai01 SD,
Ames28942:81FENABXX:5:B9,Mo506W,Mo506W,NCRPIS,AMES 28942,07ncai01 SD,
Ames28943:81FENABXX:4:A7,Mo508W,Mo508W,NCRPIS,AMES 28943,07ncai01 SD,
Ames28944:81FE7ABXX:3:F4,Mo510W,Mo510W,NCRPIS,AMES 28944,07ncai01 SD,
Ames28945:81FE7ABXX:2:C10,Mo511W,Mo511W,NCRPIS,AMES 28945,08ncai01 SD,
Ames28946:81FE7ABXX:2:C8,Mo512AW,Mo512AW,NCRPIS,AMES 28946,07ncai01 SD,
Ames28947:81FENABXX:5:H12,Mo512BW,Mo512BW,NCRPIS,AMES 28947,08ncai01 SD,
Ames28948:81FENABXX:5:H1,CI4A,CI 4A,NCRPIS,AMES 28948,07ncai01 SD,
Ames28949:81FE7ABXX:2:A11,CI12,CI 12,NCRPIS,AMES 28949,08ncai01 SD,
Ames28950:81FE7ABXX:2:H10,CI24,CI 24,NCRPIS,AMES 28950,07ncai01 SD,
Ames28951:81FE7ABXX:1:F12,CI42B,CI 42B,NCRPIS,AMES 28951,07ncai01 SD,
Ames28952:81FENABXX:4:F10,CI43,CI 43,NCRPIS,AMES 28952,07ncai01 SD,
Ames28953:81FE7ABXX:2:B4,CI92,CI 92,NCRPIS,AMES 28953,07ncai01 SD,
Ames28954:81FE7ABXX:3:E3,CI93A,CI 93A,NCRPIS,AMES 28954,08ncai01 SD,
Ames28957:D0D0BACXX:4:H7,Hi38C1,Hi38 C1,NCRPIS,AMES 28957,12915,
Ames28970:81FENABXX:1:C6,AD147DS,AD 147 DS,NCRPIS,AMES 28970,07ncai01 SD,
Ames28970:D0D0BACXX:3:F10,AD147DS,AD 147 DS,NCRPIS,AMES 28970,10744,
Ames28971:81FE7ABXX:5:D3,AD139DS,AD 139 DS,NCRPIS,AMES 28971,07ncai01 SD,
Ames28971:D0D0BACXX:3:H9,AD139DS,AD 139 DS,NCRPIS,AMES 28971,10675,
Ames28972:81N4HABXX:7:H11,AD123DS,AD 123 DS,NCRPIS,AMES 28972,07ncai01 SD,
Ames28973:81N4HABXX:7:E7,AD175,AD 175,NCRPIS,AMES 28973,07ncai01 SD,
Ames28973:D0D0BACXX:3:E3,AD175,AD 175,NCRPIS,AMES 28973,11331,
Ames28974:81FE7ABXX:5:E8,AD104DS,AD 104 DS,NCRPIS,AMES 28974,07ncai01 SD,
Ames28975:81FE7ABXX:5:E1,AD147,AD 147,NCRPIS,AMES 28975,07ncai01 SD,
Ames28975:D0D0BACXX:3:C3,AD147,AD 147,NCRPIS,AMES 28975,11714,
Ames28976:81FE7ABXX:5:B4,AD139DS-2,AD 139 DS??,NCRPIS,AMES 28976,07ncai01 SD,
Ames28977:81FENABXX:2:C2,AD316DS,AD 316 DS,NCRPIS,AMES 28977,07ncai01 SD,
Ames28978:81FE7ABXX:5:C8,AD238DS,AD 238 DS,NCRPIS,AMES 28978,07ncai01 SD,
Ames28978:D0D0BACXX:3:E9,AD238DS,AD 238 DS,NCRPIS,AMES 28978,10697,
Ames28979:81FENABXX:1:E4,AD230DS,AD 230 DS,NCRPIS,AMES 28979,09ncai01 SD,
Ames28980:81FENABXX:2:E3,AD352,AD 352,NCRPIS,AMES 28980,09ncai01 SD,
Ames28981:81N4HABXX:7:A12,AD157DS,AD 157 DS,NCRPIS,AMES 28981,09ncai01 SD,
Ames28982:81N4HABXX:7:E4,AD187-1,AD 187-1,NCRPIS,AMES 28982,07ncai01 SD,
Ames28983:81FENABXX:3:D12,AD187-2,AD 187-2,NCRPIS,AMES 28983,07ncai01 SD,
Ames28983:D0D0BACXX:3:F5,AD187-2,AD 187-2,NCRPIS,AMES 28983,10283,
Ames28984:81FE7ABXX:3:D2,AD284,AD 284,NCRPIS,AMES 28984,07ncai01 SD,
Ames28984:D0D0BACXX:3:H5,AD284,AD 284,NCRPIS,AMES 28984,11828,
Ames28985:81FENABXX:5:B8,AD188L,AD 188L,NCRPIS,AMES 28985,09ncai01 SD,
Ames28986:81FENABXX:3:C12,AD402DS,AD 402 DS,NCRPIS,AMES 28986,07ncai01 SD,
Ames28987:81FENABXX:4:H12,AD233,AD 233,NCRPIS,AMES 28987,07ncai01 SD,
Ames28988:81FENABXX:5:E3,AD26DS,AD 26 DS,NCRPIS,AMES 28988,09ncai01 SD,
Ames28989:81FE7ABXX:1:C9,ADH10,AD H10,NCRPIS,AMES 28989,09ncai01 SD,
Ames28990:81FENABXX:5:G5,AD11DS,AD 11 DS,NCRPIS,AMES 28990,07ncai01 SD,
Ames28990:D0D0BACXX:3:G9,AD11DS,AD 11 DS,NCRPIS,AMES 28990,11883,
Ames28991:81FE7ABXX:2:H9,AD330,AD 330,NCRPIS,AMES 28991,09ncai01 SD,
Ames28992:81FENABXX:4:E5,AD363-1,AD 363-1,NCRPIS,AMES 28992,09ncai01 SD,
Ames28993:81FE7ABXX:1:G4,AD363-2,AD 363-2,NCRPIS,AMES 28993,07ncai01 SD,
Ames28994:81FENABXX:4:B4,AD188LDS,AD 188L DS,NCRPIS,AMES 28994,07ncai01 SD,
Ames28994:D0D0BACXX:3:C10,AD188LDS,AD 188L DS,NCRPIS,AMES 28994,10639,
Ames28995:81FE7ABXX:3:F2,AD221,AD 221,NCRPIS,AMES 28995,07ncai01 SD,
Ames28996:81FE7ABXX:1:A6,AD347DS-1,AD 347 DS-1,NCRPIS,AMES 28996,07ncai01 SD,
Ames28997:81FE7ABXX:1:E4,AD347DS-2,AD 347 DS-2,NCRPIS,AMES 28997,07ncai01 SD,
Ames28997:D0D0BACXX:3:B3,AD347DS-2,AD 347 DS-2,NCRPIS,AMES 28997,11324,
Ames28998:81FE7ABXX:4:C6,AD448DS,AD 448 DS,NCRPIS,AMES 28998,07ncai01 SD,
Ames28999:81FENABXX:1:A1,AD440DS-1,AD 440 DS-1,NCRPIS,AMES 28999,09ncai01 SD,
Ames29000:81N4HABXX:7:G5,AD440DS-2,AD 440 DS-2,NCRPIS,AMES 29000,07ncai01 SD,
Ames29000:D0D0BACXX:3:H6,AD440DS-2,AD 440 DS-2,NCRPIS,AMES 29000,11840,
Ames29001:81FE7ABXX:4:H2,ADSA1,AD SA1,NCRPIS,AMES 29001,07ncai01 SD,
Ames29002:81FE7ABXX:4:E10,ADSA2,AD SA2,NCRPIS,AMES 29002,07ncai01 SD,
Ames29003:81FE7ABXX:6:H4,ADSA3,AD SA3,NCRPIS,AMES 29003,07ncai01 SD,
Ames29004:81FENABXX:2:A7,ADSA4,AD SA4,NCRPIS,AMES 29004,07ncai01 SD,
Ames29005:81FE7ABXX:5:C4,ADSA5,AD SA5,NCRPIS,AMES 29005,09ncai01 SD,
Ames29006:81FENABXX:1:H11,ADSA6,AD SA6,NCRPIS,AMES 29006,07ncai01 SD,
Ames29007:81N4HABXX:7:E1,ADSA7,AD SA7,NCRPIS,AMES 29007,07ncai01 SD,
Ames29008:81FENABXX:2:D4,ADSA8,AD SA8,NCRPIS,AMES 29008,07ncai01 SD,
Ames29009:81FENABXX:1:C3,ADSA9,AD SA9,NCRPIS,AMES 29009,07ncai01 SD,
Ames29009:D0D0BACXX:3:G4,ADSA9,AD SA9,NCRPIS,AMES 29009,11815,
Ames29010:81FENABXX:1:D5,ADSA10,AD SA10,NCRPIS,AMES 29010,07ncai01 SD,
Ames29010:D0D0BACXX:3:C7,ADSA10,AD SA10,NCRPIS,AMES 29010,11671,
Ames29011:81FE7ABXX:5:B11,ADSA11,AD SA11,NCRPIS,AMES 29011,07ncai01 SD,
Ames29012:81FENABXX:1:E3,ADSA12,AD SA12,NCRPIS,AMES 29012,07ncai01 SD,
Ames29013:81N4HABXX:6:G10,ADSA13,AD SA13,NCRPIS,AMES 29013,07ncai01 SD,
Ames29014:81FE7ABXX:5:D12,ADSA14,AD SA14,NCRPIS,AMES 29014,07ncai01 SD,
Ames29015:81N4HABXX:6:G12,ADSA15,AD SA15,NCRPIS,AMES 29015,07ncai01 SD,
Ames29016:81N4HABXX:7:F6,ADSA16,AD SA16,NCRPIS,AMES 29016,07ncai01 SD,
Ames29017:81FE7ABXX:5:F11,ADSA17,AD SA17,NCRPIS,AMES 29017,07ncai01 SD,
Ames29018:81FE7ABXX:5:E5,ADSA18,AD SA18,NCRPIS,AMES 29018,07ncai01 SD,
Ames29019:81FE7ABXX:4:H1,ADSA19,AD SA19,NCRPIS,AMES 29019,09ncai01 SD,
Ames29020:81FE7ABXX:3:E11,ADSA20,AD SA20,NCRPIS,AMES 29020,07ncai01 SD,
Ames29020:D0D0BACXX:3:D4,ADSA20,AD SA20,NCRPIS,AMES 29020,11810,
Ames29021:81FE7ABXX:4:A8,ADSA21,AD SA21,NCRPIS,AMES 29021,07ncai01 SD,
Ames29022:81FE7ABXX:6:H5,ADSg1501,AD Sg1501,NCRPIS,AMES 29022,07ncai01 SD,
Ames29023:81FE7ABXX:5:E12,ADSg1501-1,AD Sg1501-1,NCRPIS,AMES 29023,07ncai01 SD,
Ames29024:81FE7ABXX:6:F5,ADSg1501-2,AD Sg1501-2,NCRPIS,AMES 29024,07ncai01 SD,
Ames29024:D0D0BACXX:3:A11,ADSg1501-2,AD Sg1501-2,NCRPIS,AMES 29024,11901,
Ames29025:81FE7ABXX:3:B11,ADSg1501-3,AD Sg1501-3,NCRPIS,AMES 29025,07ncai01 SD,
Ames29026:81N4HABXX:6:B12,ADSg1501-4,AD Sg1501-4,NCRPIS,AMES 29026,07ncai01 SD,
Ames29026:D0D0BACXX:3:F11,ADSg1501-4,AD Sg1501-4,NCRPIS,AMES 29026,12009,
Ames29027:81FENABXX:2:E2,ADSg1501-5,AD Sg1501-5,NCRPIS,AMES 29027,07ncai01 SD,
Ames29028:81FE7ABXX:4:G7,ADSg1501-6,AD Sg1501-6,NCRPIS,AMES 29028,07ncai01 SD,
Ames29030:81N4HABXX:7:E10,AD370,AD 370,NCRPIS,AMES 29030,07ncai01 SD,
Ames29394:81FENABXX:5:A6,1497-2,1497-2,NCRPIS,AMES 29394,08ncao01 SD,
Ames29447:D0D0BACXX:3:C7,W438,W438,NCRPIS,AMES 29447,10513,
Ames29447:D0D0BACXX:3:E8,W438,W438,NCRPIS,AMES 29447,10572,
Ames29447:D0D0BACXX:3:G8,W438,W438,NCRPIS,AMES 29447,10586,
Ames29448:D0D0BACXX:4:A6,1416-1,1416-1,NCRPIS,AMES 29448,12812,
Ames29451:81N4HABXX:2:E3,GE440,GE 440,NCRPIS,AMES 29451,08ncei01 SD,
Ames30480:D0D0BACXX:3:A5,T179,T179,NCRPIS,AMES 30480,11556,
Ames30522:D0D0BACXX:3:F10,MR01AraguitoS6,MR01 (Araguito) S6,NCRPIS,AMES 30522,11931,
Ames30523:D0D0BACXX:3:C3,MR02Assiniboine,MR02 (Assiniboine),NCRPIS,AMES 30523,10101,
Ames30524:D0D0BACXX:4:E11,MR05CatetoS6,MR05 (Cateto) S6,NCRPIS,AMES 30524,12705,
Ames30526:D0D0BACXX:4:G2,MR08CostenoS6,MR08 (Costeno) S6,NCRPIS,AMES 30526,13157,
Ames30527:D0D0BACXX:4:C12,MR09CravoRiogranenseS6,MR09 (Cravo Riogranense) S6,NCRPIS,AMES 30527,13078,
Ames30529:D0D0BACXX:3:D12,MR11CubanFlintS6,MR11 (Cuban Flint) S6,NCRPIS,AMES 30529,21205,
Ames30531:D0D0BACXX:3:B10,MR14LongfellowFlint,MR14 (Longfellow Flint),NCRPIS,AMES 30531,11956,
Ames30533:D0D0BACXX:3:E5,MR19SantoDomingo,MR19 (Santo Domingo),NCRPIS,AMES 30533,11642,
Ames30534:D0D0BACXX:3:E9,MR20ShoePegS7,MR20 (Shoe Peg) S7,NCRPIS,AMES 30534,11798,
Ames30534:D0D0BACXX:3:F2,not included,MR20 (Shoe Peg) S7,NCRPIS,AMES 30534,11304,
Ames30535:D0D0BACXX:4:C11,MR22TuxpenoS6,MR22 (Tuxpeno) S6,NCRPIS,AMES 30535,13002,
Ames30536:D0D0BACXX:3:E11,MR23ZapaloteChicoS6,MR23 (Zapalote Chico) S6,NCRPIS,AMES 30536,11998,
Ames30537:D0D0BACXX:3:H11,MR25PoropoS5,MR25 (Pororo) S5,NCRPIS,AMES 30537,12024,
Ames30790:D0D0BACXX:3:H9,GEMS-0175,GEMS-0175,NCRPIS,AMES 30790,12083,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames30791:D0D0BACXX:3:A11,GEMS-0176,GEMS-0176,NCRPIS,AMES 30791,12074,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames30792:D0D0BACXX:4:H2,GEMN-0177,GEMN-0177,NCRPIS,AMES 30792,12191,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames30793:D0D0BACXX:3:G5,GEMN-0178,GEMN-0178,NCRPIS,AMES 30793,12118,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
