GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames12820:81N4HABXX:6:F1,89S4127,89S4127,NCRPIS,AMES 12820,00ncai01 SD,
Ames12821:81FE8ABXX:1:F3,89S4145,89S4145,NCRPIS,AMES 12821,91ncai01 SD,
Ames12822:81N4HABXX:6:G5,89S4154,89S4154,NCRPIS,AMES 12822,09ncai01 SD,
Ames12823:81N4HABXX:6:D3,89S4157,89S4157,NCRPIS,AMES 12823,91ncai01 SD,
Ames12824:81FE8ABXX:1:H5,89S4190,89S4190,NCRPIS,AMES 12824,91ncai01 SD,
Ames14111:81N4HABXX:2:C2,T202,T202,NCRPIS,AMES 14111,91ncai01 SD,
Ames14111:D0D0BACXX:3:A3,T202,T202,NCRPIS,AMES 14111,11716,
Ames14112:81FE7ABXX:4:F3,Va3A,Va3A,NCRPIS,AMES 14112,99ncai01 SD,
Ames14113:81FE8ABXX:7:G1,Va12C,Va12C,NCRPIS,AMES 14113,08ncai01 SD,
Ames14113:D0D0BACXX:4:A12,Va12C,Va12C,NCRPIS,AMES 14113,12720,
Ames14114:81FE8ABXX:7:D3,Va14A,Va14A,NCRPIS,AMES 14114,08ncai01 SD,
Ames14115:81FENABXX:2:H5,Va35C,Va35C,NCRPIS,AMES 14115,94ncai01 SD,
Ames14116:81FENABXX:1:C2,Va36A,Va36A,NCRPIS,AMES 14116,91ncai01 SD,
Ames15929:81FENABXX:1:G7,H49,H49,NCRPIS,AMES 15929,03ncai01 SD,
Ames18999:81FE8ABXX:7:E5,Ab28A,Ab28A,NCRPIS,AMES 18999,04ncai02 SD,
Ames18999:81N4HABXX:1:B10,Ab28A,Ab28A,NCRPIS,AMES 18999,07ncai01 SD,
Ames19000:81FE7ABXX:3:C7,VaW6,VaW6,NCRPIS,AMES 19000,07ncai01 SD,
Ames19000:81FE7ABXX:4:B2,VaW6,VaW6,NCRPIS,AMES 19000,04ncai02 SD,
